Stove type: M422,,Latitude of the PUMA device location,[64.87386],Longitude of the PUMA device location,[-147.813],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543717529.0,-1,-1,0,0.0,0.0,71.97,19.32,52.65
1543717754.0,4,183806,10912,0.047521759999999996,0.7603481599999999,77.04,19.39,57.65
1543718111.0,-1,-1,0,0.0,0.0,71.06,19.49,51.57
1543718411.0,-1,-1,0,0.0,0.0,71.29,19.58,51.71
1543718711.0,-1,-1,0,0.0,0.0,74.42,19.67,54.75
1543719011.0,-1,-1,0,0.0,0.0,69.68,19.76,49.92
1543719236.0,2,183808,2,8.71e-06,0.00013936,72.65,19.83,52.82
1543719592.0,-1,-1,0,0.0,0.0,73.98,19.94,54.04
1543719716.0,4,188189,4381,0.019079255,0.5539138548387097,74.42,19.99,54.43
1543719775.0,3,188621,432,0.0018813599999999999,0.11479484745762711,75.74,20.01,55.73
1543720131.0,-1,-1,0,0.0,0.0,78.33,20.15,58.18
1543720431.0,-1,-1,0,0.0,0.0,74.42,20.27,54.15
1543720731.0,-1,-1,0,0.0,0.0,77.69,20.39,57.3
1543721031.0,-1,-1,0,0.0,0.0,79.6,20.51,59.09
1543721087.0,4,198123,9502,0.04138121,2.660220642857143,75.52,20.53,54.99
1543721445.0,-1,-1,0,0.0,0.0,75.74,20.68,55.06
1543721745.0,-1,-1,0,0.0,0.0,75.3,20.8,54.5
1543722045.0,-1,-1,0,0.0,0.0,73.32,20.92,52.4
1543722345.0,-1,-1,0,0.0,0.0,69.21,21.04,48.17
1543722485.0,2,198123,0,0.0,0.0,69.68,21.09,48.59
1543722815.0,3,201135,3012,0.013117259999999999,0.1430973818181818,69.68,21.23,48.45
1543723171.0,-1,-1,0,0.0,0.0,69.45,21.37,48.08
1543723471.0,-1,-1,0,0.0,0.0,72.65,21.15,51.5
1543723771.0,-1,-1,0,0.0,0.0,73.98,20.89,53.09
1543724072.0,-1,-1,0,0.0,0.0,75.96,20.64,55.32
1543724372.0,-1,-1,0,0.0,0.0,74.21,20.38,53.83
1543724672.0,-1,-1,0,0.0,0.0,78.96,20.13,58.83
1543724728.0,4,214927,13792,0.06006416,3.861267428571429,77.26,20.08,57.18
1543725085.0,-1,-1,0,0.0,0.0,73.98,19.78,54.2
1543725385.0,-1,-1,0,0.0,0.0,71.74,19.52,52.22
1543725685.0,-1,-1,0,0.0,0.0,71.29,19.27,52.02
1543725985.0,-1,-1,0,0.0,0.0,72.65,19.01,53.64
1543726117.0,2,214927,0,0.0,0.0,71.29,18.9,52.39
1543726473.0,-1,-1,0,0.0,0.0,74.42,18.6,55.82
1543726529.0,3,218599,3672,0.01599156,1.028028857142857,73.76,18.55,55.21
1543726888.0,-1,-1,0,0.0,0.0,74.21,18.4,55.81
1543727188.0,-1,-1,0,0.0,0.0,74.42,18.69,55.73
1543727488.0,-1,-1,0,0.0,0.0,70.37,18.97,51.4
1543727788.0,-1,-1,0,0.0,0.0,78.33,19.26,59.07
1543728089.0,-1,-1,0,0.0,0.0,75.74,19.54,56.2
1543728389.0,-1,-1,0,0.0,0.0,75.08,19.83,55.25
1543728592.0,4,233773,15174,0.06608277,1.1719111921182266,72.19,20.02,52.17
1543728949.0,-1,-1,0,0.0,0.0,75.96,20.36,55.6
1543729249.0,-1,-1,0,0.0,0.0,68.04,20.65,47.39
1543729549.0,-1,-1,0,0.0,0.0,73.32,20.93,52.39
1543729850.0,-1,-1,0,0.0,0.0,68.98,21.22,47.76
1543730010.0,2,233773,0,0.0,0.0,71.29,21.37,49.92
1543730341.0,3,236786,3013,0.013121615,0.14271242900302114,72.19,21.68,50.51
1543730697.0,-1,-1,0,0.0,0.0,77.47,21.9,55.57
1543730997.0,-1,-1,0,0.0,0.0,78.33,22.07,56.26
1543731298.0,-1,-1,0,0.0,0.0,75.08,22.23,52.85
1543731598.0,-1,-1,0,0.0,0.0,75.52,22.4,53.12
1543731898.0,-1,-1,0,0.0,0.0,73.09,22.56,50.53
1543732199.0,-1,-1,0,0.0,0.0,73.09,22.73,50.36
1543732499.0,-1,-1,0,0.0,0.0,78.11,22.89,55.22
1543732733.0,4,254387,17601,0.07665235499999999,1.1792669999999998,75.74,23.02,52.72
1543733093.0,-1,-1,0,0.0,0.0,73.76,23.22,50.54
1543733393.0,-1,-1,0,0.0,0.0,76.61,23.39,53.22
1543733693.0,-1,-1,0,0.0,0.0,72.87,23.55,49.32
1543733993.0,-1,-1,0,0.0,0.0,71.29,23.72,47.57
1543734179.0,2,254388,1,4.355e-06,8.429032258064516e-05,71.97,24.07,47.9
1543734509.0,4,257398,3010,0.01310855,0.14300236363636362,74.42,24.71,49.71
1543734566.0,3,257816,418,0.0018203899999999999,0.11497199999999998,74.65,24.82,49.83
1543734922.0,-1,-1,0,0.0,0.0,74.21,25.52,48.69
1543735222.0,-1,-1,0,0.0,0.0,74.21,26.1,48.11
1543735522.0,-1,-1,0,0.0,0.0,75.52,26.69,48.83
1543735822.0,-1,-1,0,0.0,0.0,78.11,27.27,50.84
1543736123.0,-1,-1,0,0.0,0.0,74.21,27.86,46.35
1543736423.0,-1,-1,0,0.0,0.0,74.87,28.44,46.43
1543736723.0,-1,-1,0,0.0,0.0,75.3,29.03,46.27
1543736779.0,4,273974,16158,0.07036809,4.5236629285714285,76.18,29.14,47.04
1543737137.0,-1,-1,0,0.0,0.0,72.19,29.84,42.35
1543737437.0,-1,-1,0,0.0,0.0,70.14,30.42,39.72
1543737738.0,-1,-1,0,0.0,0.0,70.6,30.7,39.9
1543738038.0,-1,-1,0,0.0,0.0,71.29,30.61,40.68
1543738175.0,2,273974,0,0.0,0.0,71.29,30.57,40.72
1543738531.0,-1,-1,0,0.0,0.0,72.19,30.46,41.73
1543738588.0,3,277646,3672,0.01599156,1.0099932631578947,73.76,30.44,43.32
1543738944.0,-1,-1,0,0.0,0.0,73.98,30.34,43.64
1543739245.0,-1,-1,0,0.0,0.0,72.42,30.25,42.17
1543739545.0,-1,-1,0,0.0,0.0,76.83,30.16,46.67
1543739845.0,-1,-1,0,0.0,0.0,75.08,30.07,45.01
1543739906.0,4,287345,9699,0.042239145,2.4928019999999997,78.11,30.05,48.06
1543740263.0,-1,-1,0,0.0,0.0,72.65,29.94,42.71
1543740564.0,-1,-1,0,0.0,0.0,71.52,29.85,41.67
1543740865.0,-1,-1,0,0.0,0.0,68.04,29.76,38.28
1543741081.0,2,287347,2,8.71e-06,0.00014516666666666665,73.98,29.7,44.28
1543741411.0,4,290359,3012,0.013117259999999999,0.1430973818181818,70.83,29.59,41.24
1543741468.0,3,290777,418,0.0018203899999999999,0.11497199999999998,74.21,29.57,44.64
1543741824.0,-1,-1,0,0.0,0.0,74.21,29.44,44.77
1543742125.0,-1,-1,0,0.0,0.0,72.42,29.34,43.08
1543742425.0,-1,-1,0,0.0,0.0,77.47,29.23,48.24
1543742725.0,-1,-1,0,0.0,0.0,77.47,29.13,48.34
1543743025.0,-1,-1,0,0.0,0.0,77.26,29.02,48.24
1543743326.0,-1,-1,0,0.0,0.0,77.04,28.92,48.12
1543743626.0,-1,-1,0,0.0,0.0,73.76,28.81,44.95
1543743926.0,-1,-1,0,0.0,0.0,76.61,28.71,47.9
1543744226.0,-1,-1,0,0.0,0.0,76.18,28.6,47.58
1543744331.0,4,311842,21065,0.091738075,3.1453054285714286,73.76,28.56,45.2
1543744689.0,-1,-1,0,0.0,0.0,74.42,28.44,45.98
1543744989.0,-1,-1,0,0.0,0.0,74.21,28.2,46.01
1543745290.0,-1,-1,0,0.0,0.0,71.52,27.89,43.63
1543745433.0,2,311843,1,4.355e-06,0.00010963636363636363,70.14,27.74,42.4
1543745789.0,-1,-1,0,0.0,0.0,73.76,27.36,46.4
1543745883.0,3,315951,4108,0.017890339999999998,0.6851619574468084,76.18,27.26,48.92
1543746237.0,-1,-1,0,0.0,0.0,73.76,26.89,46.87
1543746538.0,-1,-1,0,0.0,0.0,74.21,26.58,47.63
1543746838.0,-1,-1,0,0.0,0.0,77.26,26.26,51.0
1543747138.0,-1,-1,0,0.0,0.0,75.3,25.95,49.35
1543747438.0,-1,-1,0,0.0,0.0,74.42,25.63,48.79
1543747739.0,-1,-1,0,0.0,0.0,74.42,25.31,49.11
1543747817.0,4,330182,14231,0.061976005,2.860431,77.9,25.23,52.67
1543748175.0,-1,-1,0,0.0,0.0,74.65,24.86,49.79
1543748475.0,-1,-1,0,0.0,0.0,72.65,24.55,48.1
1543748775.0,-1,-1,0,0.0,0.0,71.74,24.28,47.46
1543748946.0,2,330183,1,4.355e-06,9.168421052631578e-05,71.06,24.13,46.93
1543749303.0,-1,-1,0,0.0,0.0,72.42,23.81,48.61
1543749359.0,3,333860,3677,0.016013335,1.0294286785714286,74.42,23.76,50.66
1543749716.0,-1,-1,0,0.0,0.0,76.18,23.44,52.74
1543750016.0,-1,-1,0,0.0,0.0,75.52,23.17,52.35
1543750316.0,-1,-1,0,0.0,0.0,77.47,22.9,54.57
1543750616.0,-1,-1,0,0.0,0.0,75.3,22.63,52.67
1543750916.0,-1,-1,0,0.0,0.0,74.21,22.36,51.85
1543751216.0,-1,-1,0,0.0,0.0,72.87,22.09,50.78
1543751516.0,-1,-1,0,0.0,0.0,75.52,21.82,53.7
1543751816.0,-1,-1,0,0.0,0.0,73.98,21.55,52.43
1543752116.0,-1,-1,0,0.0,0.0,77.04,21.25,55.79
1543752417.0,-1,-1,0,0.0,0.0,75.96,20.92,55.04
1543752512.0,4,357056,23196,0.10101858,3.8280725052631577,74.42,20.82,53.6
1543752868.0,-1,-1,0,0.0,0.0,72.19,20.43,51.76
1543753168.0,-1,-1,0,0.0,0.0,72.87,20.1,52.77
1543753469.0,-1,-1,0,0.0,0.0,73.54,19.76,53.78
1543753725.0,2,357060,4,1.742e-05,0.00024496875,72.65,19.48,53.17
1543754055.0,3,360072,3012,0.013117259999999999,0.1430973818181818,75.74,19.12,56.62
1543754409.0,-1,-1,0,0.0,0.0,73.76,18.73,55.03
1543754709.0,-1,-1,0,0.0,0.0,74.42,18.4,56.02
1543755010.0,-1,-1,0,0.0,0.0,77.47,18.07,59.4
1543755310.0,-1,-1,0,0.0,0.0,76.4,17.74,58.66
1543755610.0,-1,-1,0,0.0,0.0,78.54,17.42,61.12
1543755773.0,4,372716,12644,0.055064619999999995,1.216151116564417,73.32,17.44,55.88
1543756129.0,-1,-1,0,0.0,0.0,72.42,17.47,54.95
1543756429.0,-1,-1,0,0.0,0.0,71.52,17.5,54.02
1543756729.0,-1,-1,0,0.0,0.0,73.32,17.53,55.79
1543756928.0,2,372717,1,4.355e-06,7.878391959798994e-05,70.6,17.55,53.05
1543757283.0,-1,-1,0,0.0,0.0,74.42,17.59,56.83
1543757339.0,3,376375,3658,0.015930589999999998,1.024109357142857,75.74,17.59,58.15
1543757695.0,-1,-1,0,0.0,0.0,75.74,17.63,58.11
1543757995.0,-1,-1,0,0.0,0.0,73.32,17.66,55.66
1543758296.0,-1,-1,0,0.0,0.0,71.06,17.69,53.37
