Stove Type,M422,Latitude,64.87386,Longitude,-147.813,Square Footage,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PuMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Thermistor resistance of the indoor thermistor
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Thermistor resistance (ohms)
1543836720.0,2,777975,11314
1543837050.0,4,780985,11004
1543837107.0,3,781401,11188
1543837463.0,-1,-1,10257
1543837763.0,-1,-1,9990
1543838064.0,-1,-1,10479
1543838364.0,-1,-1,9391
1543838664.0,-1,-1,10203
1543838805.0,4,793892,10149
1543839162.0,-1,-1,10884
1543839462.0,-1,-1,10944
1543839762.0,-1,-1,11770
1543840062.0,-1,-1,11906
1543840138.0,2,793892,11571
1543840469.0,3,796904,10766
1543840825.0,-1,-1,11251
1543841125.0,-1,-1,10312
1543841425.0,-1,-1,10257
1543841726.0,-1,-1,10707
1543842026.0,-1,-1,10149
1543842199.0,4,809633,10257
1543842556.0,-1,-1,10203
1543842856.0,-1,-1,11188
1543843156.0,-1,-1,11004
1543843456.0,-1,-1,11126
1543843585.0,2,809635,10825
1543843915.0,4,812645,11188
1543843971.0,3,813062,10592
1543844327.0,-1,-1,10944
1543844628.0,-1,-1,9835
1543844928.0,-1,-1,11126
1543845228.0,-1,-1,10203
1543845467.0,4,824065,10535
1543845826.0,-1,-1,11838
1543846126.0,-1,-1,11975
1543846426.0,-1,-1,11441
1543846726.0,-1,-1,11314
1543846834.0,2,824068,11704
1543847164.0,3,827079,11506
1543847523.0,-1,-1,11506
1543847823.0,-1,-1,9835
1543848123.0,-1,-1,9835
1543848423.0,-1,-1,10707
1543848724.0,-1,-1,10423
1543849024.0,-1,-1,9887
1543849218.0,4,842195,9938
1543849576.0,-1,-1,10423
1543849876.0,-1,-1,11188
1543850176.0,-1,-1,10944
1543850476.0,-1,-1,11126
1543850661.0,2,842198,11770
1543851017.0,-1,-1,11441
1543851141.0,4,846578,11441
1543851197.0,3,846994,10707
1543851556.0,-1,-1,9835
1543851857.0,-1,-1,10650
1543852157.0,-1,-1,9734
1543852457.0,-1,-1,9684
1543852633.0,4,857556,10312
1543852990.0,-1,-1,10944
1543853290.0,-1,-1,10944
1543853590.0,-1,-1,10535
1543853890.0,-1,-1,11506
1543854054.0,2,857556,12115
1543854385.0,4,860567,11126
1543854441.0,3,860984,9684
1543854797.0,-1,-1,11065
1543855098.0,-1,-1,9887
1543855398.0,-1,-1,11004
1543855698.0,-1,-1,10149
1543855998.0,-1,-1,10535
1543856110.0,4,873264,10096
1543856468.0,-1,-1,10592
1543856768.0,-1,-1,10944
1543857068.0,-1,-1,12045
1543857368.0,-1,-1,11251
1543857526.0,2,873266,10825
1543857856.0,4,876277,11506
1543857915.0,3,876711,10423
1543858271.0,-1,-1,10043
1543858571.0,-1,-1,10766
1543858871.0,-1,-1,10884
1543859171.0,-1,-1,10707
1543859471.0,-1,-1,10367
1543859645.0,4,889445,10203
1543860003.0,-1,-1,10884
1543860303.0,-1,-1,10884
1543860603.0,-1,-1,12329
1543860903.0,-1,-1,11770
1543861047.0,2,889448,11637
1543861377.0,4,892459,11637
1543861433.0,3,892876,11126
1543861792.0,-1,-1,10312
1543862092.0,-1,-1,9634
1543862392.0,-1,-1,10096
1543862693.0,-1,-1,9684
1543862993.0,-1,-1,9585
1543863223.0,4,906044,10096
1543863581.0,-1,-1,11506
1543863881.0,-1,-1,11065
1543864181.0,-1,-1,11251
1543864481.0,-1,-1,11506
1543864682.0,2,906045,10825
1543865012.0,4,909056,11704
1543865068.0,3,909472,9990
1543865427.0,-1,-1,9249
1543865727.0,-1,-1,10535
