Stove type: M422,,Latitude of the PUMA device location,[64.83723],Longitude of the PUMA device location,[-148.027],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1549995800.0,3,280873,294,0.0012803699999999999,0.015364439999999998,70.83,24.35,46.48
1549995889.0,4,281528,0,0.0,0.0,71.74,24.39,47.35
1549996229.0,-1,-1,921,0.004010955,0.042468935294117646,68.75,24.54,44.21
1549996530.0,-1,-1,0,0.0,0.0,68.98,24.68,44.3
1549996830.0,-1,-1,0,0.0,0.0,67.33,24.81,42.52
1549997131.0,-1,-1,0,0.0,0.0,67.09,24.95,42.14
1549997309.0,2,281531,0,0.0,0.0,67.09,25.03,42.06
1549997609.0,3,284275,0,0.0,0.0,70.83,25.16,45.67
1549997708.0,4,284998,0,0.0,0.0,71.52,25.21,46.31
1549998048.0,-1,-1,4,1.742e-05,0.0001844470588235294,69.21,25.41,43.8
1549998349.0,-1,-1,0,0.0,0.0,68.28,25.83,42.45
1549998649.0,-1,-1,2740,0.0119327,0.1431924,67.33,26.25,41.08
1549998949.0,-1,-1,0,0.0,0.0,67.33,26.67,40.66
1549999232.0,2,284999,973,0.004237415,0.05390351236749116,67.09,27.06,40.03
1549999532.0,3,287743,0,0.0,0.0,70.37,27.48,42.89
1549999642.0,4,288552,0,0.0,0.0,71.06,27.64,43.42
1549999972.0,-1,-1,0,0.0,0.0,68.98,28.1,40.88
1550000273.0,-1,-1,0,0.0,0.0,68.04,28.52,39.52
1550000573.0,-1,-1,0,0.0,0.0,68.04,28.94,39.1
1550000874.0,-1,-1,0,0.0,0.0,67.33,29.36,37.97
1550001157.0,2,288552,0,0.0,0.0,67.33,29.76,37.57
1550001457.0,3,291296,3,1.3065e-05,0.00015678,69.91,30.18,39.73
1550001561.0,4,292061,0,0.0,0.0,71.52,30.33,41.19
1550001902.0,-1,-1,2740,0.0119327,0.1259757184750733,69.45,30.43,39.02
1550002202.0,-1,-1,0,0.0,0.0,68.04,30.47,37.57
1550002503.0,-1,-1,220,0.0009580999999999999,0.011459003322259135,67.8,30.52,37.28
1550002803.0,-1,-1,0,0.0,0.0,67.57,30.56,37.01
1550003104.0,-1,-1,339,0.001476345,0.017657282392026578,67.33,30.61,36.72
1550003178.0,2,292064,0,0.0,0.0,67.09,30.62,36.47
1550003477.0,3,294804,0,0.0,0.0,70.14,30.66,39.48
1550003583.0,4,295581,0,0.0,0.0,71.29,30.68,40.61
1550003913.0,-1,-1,0,0.0,0.0,69.21,30.73,38.48
1550004214.0,-1,-1,0,0.0,0.0,67.8,30.77,37.03
1550004514.0,-1,-1,0,0.0,0.0,68.04,30.82,37.22
1550004814.0,-1,-1,2,8.71e-06,0.00010452,67.57,30.86,36.71
1550004981.0,2,295586,0,0.0,0.0,67.33,30.89,36.44
1550005280.0,4,298326,2740,0.0119327,0.14367130434782607,69.91,30.92,38.99
1550005310.0,3,298546,0,0.0,0.0,70.6,30.91,39.69
1550005397.0,4,299187,295,0.001284725,0.05316103448275862,71.52,30.91,40.61
1550005728.0,-1,-1,0,0.0,0.0,69.21,30.89,38.32
1550006028.0,-1,-1,463,0.002016365,0.02419638,68.04,30.88,37.16
1550006329.0,-1,-1,0,0.0,0.0,67.09,30.86,36.23
1550006629.0,-1,-1,0,0.0,0.0,66.85,30.85,36.0
1550006851.0,2,299187,0,0.0,0.0,67.8,30.84,36.96
1550007151.0,4,301927,0,0.0,0.0,69.68,30.82,38.86
1550007197.0,3,302266,0,0.0,0.0,70.37,30.82,39.55
1550007267.0,4,302779,0,0.0,0.0,71.52,30.82,40.7
1550007597.0,-1,-1,3,1.3065e-05,0.00014252727272727272,69.45,30.8,38.65
1550007898.0,-1,-1,0,0.0,0.0,68.04,30.79,37.25
1550008198.0,-1,-1,2744,0.01195012,0.14340144,67.57,30.77,36.8
1550008499.0,-1,-1,0,0.0,0.0,67.09,30.76,36.33
1550008713.0,2,302781,699,0.003044145,0.05120991588785046,67.33,30.74,36.59
1550009012.0,4,305521,0,0.0,0.0,69.68,30.71,38.97
1550009064.0,3,305904,0,0.0,0.0,70.83,30.7,40.13
1550009127.0,4,306363,0,0.0,0.0,71.52,30.69,40.83
1550009457.0,-1,-1,0,0.0,0.0,69.21,30.64,38.57
1550009758.0,-1,-1,0,0.0,0.0,67.8,30.6,37.2
1550010058.0,-1,-1,0,0.0,0.0,68.04,30.55,37.49
1550010359.0,-1,-1,0,0.0,0.0,67.33,30.51,36.82
1550010611.0,2,306365,4,1.742e-05,0.00024885714285714284,67.33,30.47,36.86
1550010911.0,3,309109,0,0.0,0.0,70.14,30.42,39.72
1550011026.0,4,309954,2744,0.01195012,0.3740907130434783,71.29,30.41,40.88
1550011372.0,-1,-1,0,0.0,0.0,69.45,30.35,39.1
1550011673.0,-1,-1,1229,0.005352295,0.06401415946843854,67.8,30.31,37.49
1550011973.0,-1,-1,0,0.0,0.0,66.85,30.26,36.59
1550012274.0,-1,-1,0,0.0,0.0,67.09,30.22,36.87
1550012471.0,2,309958,0,0.0,0.0,66.85,30.17,36.68
1550012770.0,4,312698,0,0.0,0.0,69.91,30.05,39.86
1550012800.0,3,312919,0,0.0,0.0,70.6,30.04,40.56
1550012914.0,4,313754,0,0.0,0.0,70.83,29.99,40.84
1550013270.0,-1,-1,0,0.0,0.0,69.21,29.85,39.36
1550013571.0,-1,-1,0,0.0,0.0,68.28,29.73,38.55
1550013871.0,-1,-1,2744,0.01195012,0.14340144,67.57,29.61,37.96
1550014171.0,-1,-1,0,0.0,0.0,67.8,29.49,38.31
1550014472.0,-1,-1,701,0.0030528549999999997,0.03651255149501661,67.09,29.37,37.72
1550014512.0,2,313957,0,0.0,0.0,67.33,29.36,37.97
1550014790.0,3,316501,0,0.0,0.0,70.14,29.24,40.9
1550014912.0,4,317400,0,0.0,0.0,71.97,29.2,42.77
1550015253.0,-1,-1,0,0.0,0.0,68.98,29.06,39.92
1550015553.0,-1,-1,0,0.0,0.0,68.04,28.94,39.1
1550015854.0,-1,-1,3,1.3065e-05,0.00015625913621262458,67.33,28.82,38.51
1550016154.0,-1,-1,0,0.0,0.0,68.04,28.68,39.36
1550016351.0,2,317403,2744,0.01195012,0.2183778274111675,66.85,28.58,38.27
1550016652.0,4,320145,0,0.0,0.0,69.91,28.43,41.48
1550016682.0,3,320365,655,0.002852525,0.34230299999999997,70.37,28.42,41.95
1550016784.0,4,321120,0,0.0,0.0,71.74,28.37,43.37
1550017141.0,-1,-1,0,0.0,0.0,69.21,28.19,41.02
1550017441.0,-1,-1,0,0.0,0.0,67.8,28.04,39.76
1550017742.0,-1,-1,0,0.0,0.0,67.57,27.89,39.68
1550018042.0,-1,-1,0,0.0,0.0,67.33,27.74,39.59
1550018284.0,2,321122,3,1.3065e-05,0.00019435537190082644,67.33,27.62,39.71
1550018584.0,4,323862,0,0.0,0.0,69.68,27.47,42.21
1550018624.0,3,324157,2744,0.01195012,1.0755108,71.06,27.45,43.61
1550018680.0,4,324568,0,0.0,0.0,71.74,27.42,44.32
1550019011.0,-1,-1,723,0.0031486649999999997,0.03424529909365559,68.98,27.25,41.73
1550019311.0,-1,-1,0,0.0,0.0,66.85,27.1,39.75
1550019612.0,-1,-1,0,0.0,0.0,67.33,26.96,40.37
1550019912.0,-1,-1,0,0.0,0.0,67.33,26.9,40.43
1550020143.0,2,324569,0,0.0,0.0,67.09,26.85,40.24
1550020444.0,3,327313,0,0.0,0.0,70.37,26.79,43.58
1550020572.0,4,328256,1,4.355e-06,0.000122484375,71.74,26.77,44.97
1550020928.0,-1,-1,0,0.0,0.0,69.21,26.69,42.52
1550021229.0,-1,-1,2744,0.01195012,0.14292502325581397,68.28,26.63,41.65
1550021529.0,-1,-1,0,0.0,0.0,68.04,26.57,41.47
1550021829.0,-1,-1,809,0.003523195,0.04227834,67.09,26.51,40.58
1550022016.0,2,328257,0,0.0,0.0,66.37,26.48,39.89
1550022316.0,4,330997,0,0.0,0.0,69.91,26.42,43.49
1550022356.0,3,331292,0,0.0,0.0,70.83,26.41,44.42
1550022425.0,4,331803,0,0.0,0.0,71.74,26.39,45.35
1550022766.0,-1,-1,0,0.0,0.0,68.98,26.33,42.65
1550023066.0,-1,-1,0,0.0,0.0,67.8,26.27,41.53
1550023367.0,-1,-1,2744,0.01195012,0.14292502325581397,67.09,26.21,40.88
1550023667.0,-1,-1,0,0.0,0.0,67.33,26.15,41.18
1550023792.0,2,331805,765,0.003331575,0.09594936,67.33,26.12,41.21
1550024092.0,4,334545,0,0.0,0.0,69.91,26.06,43.85
1550024132.0,3,334839,0,0.0,0.0,71.06,26.05,45.01
1550024209.0,4,335410,0,0.0,0.0,71.29,26.04,45.25
1550024550.0,-1,-1,0,0.0,0.0,69.45,25.97,43.48
1550024850.0,-1,-1,0,0.0,0.0,67.8,25.91,41.89
1550025151.0,-1,-1,0,0.0,0.0,67.8,25.85,41.95
1550025451.0,-1,-1,3,1.3065e-05,0.00015678,67.57,25.79,41.78
1550025736.0,2,335411,0,0.0,0.0,67.57,25.73,41.84
1550026036.0,4,338151,2740,0.0119327,0.1431924,70.6,25.67,44.93
1550026076.0,3,338446,0,0.0,0.0,70.6,25.66,44.94
1550026143.0,4,338939,777,0.003383835,0.181818,71.06,25.65,45.41
1550026484.0,-1,-1,0,0.0,0.0,69.21,25.58,43.63
1550026784.0,-1,-1,0,0.0,0.0,68.28,25.52,42.76
1550027084.0,-1,-1,0,0.0,0.0,67.57,25.46,42.11
