Stove type: Laser 530,,Latitude of the PUMA device location,[64.91823],Longitude of the PUMA device location,[-147.868],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1544049311.0,1,167964,0,0.0,0.0,70.6,22.35,48.25
1544049631.0,2,170584,0,0.0,0.0,70.14,22.34,47.8
1544050003.0,-1,-1,0,0.0,0.0,70.6,22.32,48.28
1544050303.0,-1,-1,0,0.0,0.0,70.37,22.3,48.07
1544050603.0,-1,-1,15083,0.043846281,0.5261553720000001,71.06,22.29,48.77
1544050903.0,-1,-1,0,0.0,0.0,71.06,22.27,48.79
1544051203.0,-1,-1,0,0.0,0.0,71.52,22.26,49.26
1544051503.0,-1,-1,0,0.0,0.0,71.74,22.24,49.5
1544051802.0,-1,-1,0,0.0,0.0,71.29,22.23,49.06
1544052102.0,-1,-1,0,0.0,0.0,71.52,22.21,49.31
1544052174.0,4,186373,0,0.0,0.0,71.29,22.21,49.08
1544052546.0,-1,-1,2,5.814e-06,5.6264516129032256e-05,73.32,22.19,51.13
1544052846.0,-1,-1,0,0.0,0.0,74.65,22.18,52.47
1544053145.0,-1,-1,2644,0.007686108,0.0925417685618729,73.32,22.16,51.16
1544053445.0,-1,-1,0,0.0,0.0,71.97,22.15,49.82
1544053744.0,-1,-1,357,0.001037799,0.012495238795986623,70.6,22.13,48.47
1544053809.0,1,186373,0,0.0,0.0,70.37,22.13,48.24
1544054131.0,4,189018,0,0.0,0.0,70.37,22.11,48.26
1544054204.0,2,189477,0,0.0,0.0,70.37,22.11,48.26
1548288226.0,-1,-1,0,0.0,0.0,74.65,13.03,61.62
1548288526.0,-1,-1,0,0.0,0.0,74.42,13.18,61.24
1548288826.0,-1,-1,0,0.0,0.0,74.42,13.33,61.09
1548289126.0,-1,-1,0,0.0,0.0,74.21,13.48,60.73
1548289426.0,-1,-1,12420,0.036104939999999995,0.43325927999999997,74.42,13.63,60.79
1548289726.0,-1,-1,0,0.0,0.0,74.21,13.78,60.43
1548290026.0,-1,-1,0,0.0,0.0,74.65,13.93,60.72
1548290326.0,-1,-1,0,0.0,0.0,74.21,14.08,60.13
1548290627.0,-1,-1,0,0.0,0.0,74.21,14.23,59.98
1548290927.0,-1,-1,0,0.0,0.0,74.21,14.38,59.83
1548291227.0,-1,-1,3,8.721e-06,0.000104652,74.42,14.53,59.89
1548291527.0,-1,-1,0,0.0,0.0,74.42,14.68,59.74
1548291827.0,-1,-1,2620,0.007616339999999999,0.09139607999999999,74.42,14.81,59.61
1548292127.0,-1,-1,0,0.0,0.0,74.42,14.93,59.49
1548292427.0,-1,-1,0,0.0,0.0,74.42,15.05,59.37
1548292727.0,-1,-1,0,0.0,0.0,74.42,15.17,59.25
1548293027.0,-1,-1,0,0.0,0.0,74.42,15.29,59.13
1548293328.0,-1,-1,0,0.0,0.0,74.21,15.41,58.8
1548293628.0,-1,-1,0,0.0,0.0,73.98,15.53,58.45
1548293928.0,-1,-1,0,0.0,0.0,74.42,15.65,58.77
1548294228.0,-1,-1,0,0.0,0.0,74.42,15.77,58.65
1548294528.0,-1,-1,0,0.0,0.0,74.42,15.89,58.53
1548294828.0,-1,-1,15789,0.045898623,0.550783476,74.21,16.01,58.2
1548295128.0,-1,-1,0,0.0,0.0,74.65,16.13,58.52
1548295428.0,-1,-1,0,0.0,0.0,74.21,16.19,58.02
1548295728.0,-1,-1,0,0.0,0.0,74.42,16.24,58.18
1548296028.0,-1,-1,0,0.0,0.0,74.65,16.28,58.37
1548296329.0,-1,-1,0,0.0,0.0,74.87,16.33,58.54
1548296629.0,-1,-1,0,0.0,0.0,74.21,16.37,57.84
1548296929.0,-1,-1,0,0.0,0.0,74.65,16.42,58.23
1548297229.0,-1,-1,2645,0.0076890149999999996,0.09226817999999999,74.65,16.46,58.19
1548297529.0,-1,-1,0,0.0,0.0,74.42,16.51,57.91
1548297829.0,-1,-1,459,0.001334313,0.016011756,74.42,16.55,57.87
1548298129.0,-1,-1,0,0.0,0.0,74.42,16.6,57.82
1548298429.0,-1,-1,0,0.0,0.0,74.42,16.64,57.78
1548298729.0,-1,-1,0,0.0,0.0,74.65,16.69,57.96
1548299030.0,-1,-1,0,0.0,0.0,74.21,16.61,57.6
1548299330.0,-1,-1,0,0.0,0.0,74.21,16.49,57.72
1548299630.0,-1,-1,0,0.0,0.0,74.65,16.37,58.28
1548299930.0,-1,-1,0,0.0,0.0,73.98,16.25,57.73
1548300230.0,-1,-1,0,0.0,0.0,74.21,16.13,58.08
1548300530.0,-1,-1,0,0.0,0.0,74.42,16.01,58.41
1548300830.0,-1,-1,0,0.0,0.0,74.42,15.89,58.53
1548301130.0,-1,-1,0,0.0,0.0,74.21,15.77,58.44
1548301430.0,-1,-1,0,0.0,0.0,74.42,15.65,58.77
1548301730.0,-1,-1,0,0.0,0.0,74.65,15.53,59.12
1548302031.0,-1,-1,0,0.0,0.0,73.76,15.41,58.35
1548302331.0,-1,-1,0,0.0,0.0,74.65,15.29,59.36
1548302631.0,-1,-1,0,0.0,0.0,74.65,15.09,59.56
1548302932.0,-1,-1,0,0.0,0.0,74.42,14.86,59.56
1548303232.0,-1,-1,0,0.0,0.0,74.21,14.64,59.57
1548303532.0,-1,-1,0,0.0,0.0,74.42,14.41,60.01
1548303832.0,-1,-1,0,0.0,0.0,74.21,14.19,60.02
1548304132.0,-1,-1,0,0.0,0.0,74.65,13.96,60.69
1548304432.0,-1,-1,0,0.0,0.0,75.52,13.74,61.78
1548304732.0,-1,-1,0,0.0,0.0,73.98,13.51,60.47
1548305032.0,-1,-1,0,0.0,0.0,74.65,13.29,61.36
1548305332.0,-1,-1,0,0.0,0.0,74.65,13.06,61.59
1548305633.0,-1,-1,0,0.0,0.0,74.42,12.84,61.58
1548305933.0,-1,-1,0,0.0,0.0,73.76,12.61,61.15
1548306233.0,-1,-1,0,0.0,0.0,74.65,12.41,62.24
1548306533.0,-1,-1,0,0.0,0.0,74.42,12.21,62.21
