Stove type: Laser 56/560,,Latitude of the PUMA device location,[64.86001],Longitude of the PUMA device location,[-147.913],,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543304242.0,-1,-1,0,0.0,0.0,70.83,18.44,52.39
1543304298.0,2,124595,0,0.0,0.0,70.83,18.4,52.43
1543304654.0,-1,-1,113,0.000328491,0.0033218191011235953,70.83,18.13,52.7
1543304954.0,-1,-1,0,0.0,0.0,71.74,17.9,53.84
1543305253.0,-1,-1,480,0.00139536,0.016800321070234114,72.87,17.68,55.19
1543305438.0,4,131454,0,0.0,0.0,72.42,17.54,54.88
1543305795.0,-1,-1,966,0.002808162,0.028317599999999995,70.14,17.38,52.76
1543306094.0,-1,-1,0,0.0,0.0,68.75,17.32,51.43
1543306394.0,-1,-1,0,0.0,0.0,68.28,17.26,51.02
1543306694.0,-1,-1,4133,0.012014631,0.144175572,67.57,17.2,50.37
1543306750.0,1,131796,0,0.0,0.0,67.8,17.19,50.61
1543306806.0,2,132172,0,0.0,0.0,67.33,17.18,50.15
1543306944.0,1,132998,0,0.0,0.0,67.09,17.15,49.94
1543307300.0,-1,-1,5405,0.015712335,0.15888878089887642,70.83,17.08,53.75
1543307356.0,2,137184,0,0.0,0.0,71.52,17.07,54.45
1543307711.0,-1,-1,0,0.0,0.0,70.83,17.0,53.83
1543308011.0,-1,-1,0,0.0,0.0,71.52,16.94,54.58
1543308311.0,-1,-1,0,0.0,0.0,72.42,16.88,55.54
1543308367.0,4,143001,0,0.0,0.0,72.42,16.87,55.55
1543308724.0,-1,-1,506,0.001470942,0.014833028571428571,68.98,16.8,52.18
1543309024.0,-1,-1,0,0.0,0.0,68.04,16.74,51.3
1543309324.0,-1,-1,1026,0.0029825819999999997,0.03579098399999999,67.8,16.62,51.18
1543309523.0,1,143002,0,0.0,0.0,67.57,16.49,51.08
1543309579.0,2,143498,597,0.0017354789999999998,0.11156650714285714,67.57,16.45,51.12
1543309742.0,1,144480,0,0.0,0.0,67.57,16.35,51.22
1543310099.0,-1,-1,3200,0.009302399999999999,0.09380571428571427,70.6,16.12,54.48
1543310155.0,2,148647,0,0.0,0.0,71.52,16.08,55.44
1543310511.0,-1,-1,342,0.000994194,0.010053647191011235,71.74,15.85,55.89
1543310810.0,-1,-1,0,0.0,0.0,72.65,15.65,57.0
1543310982.0,4,153621,0,0.0,0.0,72.65,15.54,57.11
1543311338.0,-1,-1,0,0.0,0.0,70.14,15.31,54.83
1543311638.0,-1,-1,0,0.0,0.0,68.51,15.12,53.39
1543311938.0,-1,-1,6620,0.01924434,0.23093207999999998,67.8,14.92,52.88
1543312158.0,1,153624,0,0.0,0.0,67.57,14.78,52.79
1543312214.0,2,154124,0,0.0,0.0,67.8,14.74,53.06
1543312378.0,1,155111,0,0.0,0.0,67.57,14.63,52.94
1543312734.0,-1,-1,0,0.0,0.0,70.83,14.4,56.43
1543312788.0,2,159268,0,0.0,0.0,71.29,14.37,56.92
1543313144.0,-1,-1,385,0.001119195,0.011317702247191011,70.83,14.07,56.76
1543313444.0,-1,-1,0,0.0,0.0,70.83,13.81,57.02
1543313744.0,-1,-1,376,0.0010930319999999999,0.013116383999999998,73.09,13.56,59.53
1543313930.0,4,166135,0,0.0,0.0,73.09,13.4,59.69
1543314287.0,-1,-1,830,0.00241281,0.024330857142857144,70.14,13.1,57.04
1543314586.0,-1,-1,0,0.0,0.0,68.28,12.84,55.44
1543314886.0,-1,-1,3695,0.010741365,0.12889637999999998,67.09,12.59,54.5
1543315084.0,1,166136,0,0.0,0.0,67.33,12.42,54.91
1543315140.0,2,166655,0,0.0,0.0,67.57,12.37,55.2
1543315309.0,1,167669,2969,0.008630882999999999,0.1838531289940828,67.09,12.23,54.86
1543315665.0,-1,-1,0,0.0,0.0,70.14,11.92,58.22
1543315721.0,2,171857,0,0.0,0.0,70.83,11.88,58.95
1543316077.0,-1,-1,0,0.0,0.0,70.6,11.57,59.03
1543316377.0,-1,-1,0,0.0,0.0,71.29,11.32,59.97
1543316677.0,-1,-1,0,0.0,0.0,72.87,11.15,61.72
1543316733.0,4,177942,0,0.0,0.0,73.98,11.12,62.86
1543317090.0,-1,-1,334,0.000970938,0.009790971428571427,69.68,10.92,58.76
1543317389.0,-1,-1,0,0.0,0.0,67.8,10.76,57.04
1543317689.0,-1,-1,389,0.001130823,0.013569876,67.8,10.59,57.21
1543317857.0,1,177942,0,0.0,0.0,67.57,10.5,57.07
1543317913.0,2,178447,846,0.002459322,0.15809927142857141,67.33,10.47,56.86
1543318079.0,1,179444,0,0.0,0.0,67.09,10.38,56.71
1543318434.0,-1,-1,3450,0.010029149999999999,0.10170405633802816,70.14,10.18,59.96
1543318490.0,2,183740,0,0.0,0.0,71.06,10.15,60.91
1543318847.0,-1,-1,2098,0.0060988859999999995,0.06150137142857143,71.06,9.95,61.11
1543319146.0,-1,-1,0,0.0,0.0,72.42,9.79,62.63
1543319446.0,-1,-1,0,0.0,0.0,73.98,9.62,64.36
1543319502.0,4,189786,0,0.0,0.0,73.09,9.59,63.5
1543319859.0,-1,-1,0,0.0,0.0,69.68,9.4,60.28
1543320159.0,-1,-1,4,1.1628e-05,0.000139536,68.28,9.28,59.0
1543320459.0,-1,-1,0,0.0,0.0,67.8,9.21,58.59
1543320608.0,1,189786,537,0.0015610589999999998,0.03771686174496644,67.33,9.17,58.16
1543320665.0,2,190301,0,0.0,0.0,66.85,9.15,57.7
1543320832.0,1,191307,1038,0.003017466,0.06504717125748502,66.85,9.11,57.74
1543321188.0,-1,-1,0,0.0,0.0,70.6,9.02,61.58
1543321244.0,2,195637,0,0.0,0.0,71.06,9.01,62.05
1543321600.0,-1,-1,4155,0.012078585,0.12214299438202247,70.83,8.92,61.91
1543321900.0,-1,-1,0,0.0,0.0,71.74,8.85,62.89
1543325572.0,4,213977,0,0.0,0.0,68.75,8.03,60.72
1543325928.0,-1,-1,0,0.0,0.0,67.33,7.95,59.38
1543326198.0,1,213977,0,0.0,0.0,66.85,7.9,58.95
1543326255.0,2,214506,6859,0.019939112999999998,1.2593124,66.85,7.89,58.96
1543326425.0,1,215532,0,0.0,0.0,66.61,7.86,58.75
1543326781.0,-1,-1,0,0.0,0.0,71.29,7.78,63.51
1543326837.0,2,219736,0,0.0,0.0,71.06,7.77,63.29
1543327193.0,-1,-1,0,0.0,0.0,70.83,7.7,63.13
1543327493.0,-1,-1,0,0.0,0.0,71.52,7.74,63.78
1543327793.0,-1,-1,342,0.000994194,0.011930327999999999,73.32,7.79,65.53
1543327861.0,4,225898,0,0.0,0.0,73.09,7.8,65.29
1543328218.0,-1,-1,376,0.0010930319999999999,0.011022171428571427,69.91,7.85,62.06
1543328518.0,-1,-1,0,0.0,0.0,68.28,7.9,60.38
1543328818.0,-1,-1,826,0.002401182,0.028814183999999996,67.57,7.94,59.63
1543328997.0,1,225903,0,0.0,0.0,67.57,7.97,59.6
1543329053.0,2,226417,0,0.0,0.0,66.85,7.98,58.87
1543329221.0,1,227423,4186,0.012168702,0.2607579,66.61,8.0,58.61
1543329577.0,-1,-1,0,0.0,0.0,70.6,8.06,62.54
1543329633.0,2,231664,0,0.0,0.0,71.06,8.06,63.0
1543329989.0,-1,-1,0,0.0,0.0,71.06,8.12,62.94
1543330288.0,-1,-1,0,0.0,0.0,71.06,8.16,62.9
1543330588.0,-1,-1,5817,0.016910019,0.20292022799999998,74.21,8.21,66.0
1543330644.0,4,237538,0,0.0,0.0,73.09,8.22,64.87
1543331001.0,-1,-1,0,0.0,0.0,69.21,8.2,61.01
1543331301.0,-1,-1,0,0.0,0.0,68.28,8.14,60.14
1543331601.0,-1,-1,0,0.0,0.0,67.8,8.08,59.72
1543331742.0,1,237538,1,2.907e-06,7.422127659574467e-05,67.09,8.05,59.04
1543331798.0,2,238076,0,0.0,0.0,67.09,8.04,59.05
1543331971.0,1,239114,496,0.0014418719999999999,0.030004272832369935,67.09,8.01,59.08
1543332327.0,-1,-1,0,0.0,0.0,69.91,7.93,61.98
1543332383.0,2,243403,982,0.0028546739999999998,0.18351475714285712,70.83,7.92,62.91
1543332738.0,-1,-1,0,0.0,0.0,70.83,7.85,62.98
1543333038.0,-1,-1,0,0.0,0.0,71.74,7.79,63.95
1543333334.0,4,249128,4167,0.012113469,0.14732597432432432,73.76,7.73,66.03
1543333691.0,-1,-1,0,0.0,0.0,69.68,7.66,62.02
1543333991.0,-1,-1,0,0.0,0.0,67.8,7.6,60.2
1543334291.0,-1,-1,0,0.0,0.0,67.57,7.54,60.03
1543334483.0,2,249725,4974,0.014459418,0.2711140875,67.33,7.5,59.83
1543334639.0,1,250663,0,0.0,0.0,66.85,7.45,59.4
1543334995.0,-1,-1,0,0.0,0.0,70.83,7.34,63.49
1543335051.0,2,254950,0,0.0,0.0,71.29,7.32,63.97
1543335407.0,-1,-1,0,0.0,0.0,70.83,7.22,63.61
1543335707.0,-1,-1,3,8.721e-06,0.000104652,72.87,7.13,65.74
1543336007.0,-1,-1,0,0.0,0.0,72.42,7.04,65.38
1543336100.0,4,261258,500,0.0014535,0.05626451612903225,72.87,7.01,65.86
1543336457.0,-1,-1,0,0.0,0.0,69.91,6.9,63.01
1543336756.0,-1,-1,987,0.0028692089999999997,0.03454566020066889,68.04,6.81,61.23
1543337056.0,-1,-1,0,0.0,0.0,67.8,6.72,61.08
1543337210.0,1,261262,0,0.0,0.0,66.85,6.68,60.17
1543337266.0,2,261779,4157,0.012084399,0.7768542214285714,67.09,6.66,60.43
1543337434.0,1,262793,0,0.0,0.0,67.33,6.61,60.72
1543337790.0,-1,-1,0,0.0,0.0,70.14,6.5,63.64
1543337846.0,2,267121,0,0.0,0.0,70.83,6.49,64.34
1543338202.0,-1,-1,0,0.0,0.0,71.06,6.48,64.58
1543338501.0,-1,-1,6867,0.019962369,0.2403495933110368,71.52,6.54,64.98
1543338801.0,-1,-1,0,0.0,0.0,73.54,6.6,66.94
1543338857.0,4,272974,0,0.0,0.0,72.42,6.61,65.81
1543339214.0,-1,-1,0,0.0,0.0,69.21,6.68,62.53
1543339514.0,-1,-1,0,0.0,0.0,67.8,6.74,61.06
1543339813.0,-1,-1,1,2.907e-06,3.500066889632107e-05,67.09,6.8,60.29
1543339914.0,1,272974,0,0.0,0.0,67.8,6.82,60.98
1543339970.0,2,273493,519,0.001508733,0.09698997857142858,67.09,6.83,60.26
1543340139.0,1,274507,0,0.0,0.0,67.09,6.87,60.22
1543340495.0,-1,-1,1014,0.002947698,0.02980818202247191,70.37,6.94,63.43
1543340551.0,2,278845,0,0.0,0.0,71.06,6.95,64.11
1543340907.0,-1,-1,0,0.0,0.0,71.06,7.02,64.04
1543341207.0,-1,-1,4188,0.012174516,0.146094192,71.74,7.08,64.66
1543341506.0,-1,-1,0,0.0,0.0,72.42,7.14,65.28
1543341656.0,4,285493,0,0.0,0.0,73.09,7.15,65.94
1543342013.0,-1,-1,0,0.0,0.0,69.91,7.06,62.85
1543342313.0,-1,-1,0,0.0,0.0,68.04,6.98,61.06
1543342612.0,-1,-1,6085,0.017689095,0.2129790702341137,67.8,6.91,60.89
1543342875.0,1,285495,0,0.0,0.0,68.04,6.84,61.2
1543342931.0,2,286024,0,0.0,0.0,67.33,6.83,60.5
1543343102.0,1,287051,0,0.0,0.0,67.33,6.78,60.55
1543343446.0,2,290700,0,0.0,0.0,70.83,6.7,64.13
1543343803.0,-1,-1,0,0.0,0.0,71.74,6.61,65.13
1543344102.0,-1,-1,505,0.001468035,0.01767533779264214,72.42,6.53,65.89
1543344201.0,4,295239,0,0.0,0.0,73.76,6.51,67.25
